iter	Logloss
0	0.6649168894
1	0.6375230777
2	0.6118459087
3	0.5919537418
4	0.5713741776
5	0.5528402035
6	0.533605366
7	0.5145765831
8	0.4994465461
9	0.4844728618
10	0.4720622944
11	0.4590648643
12	0.4481775802
13	0.4381223273
14	0.4287430613
15	0.4201655016
16	0.4120917969
17	0.4034167866
18	0.3960477745
19	0.3903840718
20	0.3849346217
21	0.3787517475
22	0.3730070929
23	0.3693724815
24	0.3652307771
25	0.3615941612
26	0.3582889083
27	0.3543258121
28	0.3510048828
29	0.3478589895
30	0.3451900699
31	0.3426060341
32	0.3401888877
33	0.3377107319
34	0.3344192023
35	0.3321181384
36	0.3299777961
37	0.3275639905
38	0.3251973941
39	0.323383712
40	0.3210779965
41	0.3197590461
42	0.3179323602
43	0.3158230366
44	0.3140041118
45	0.3125865286
46	0.3109087171
47	0.3096691766
48	0.3083728927
49	0.306974815
50	0.3058812449
51	0.3046092465
52	0.3032248921
53	0.3018619963
54	0.300824707
55	0.2994774877
56	0.2980930047
57	0.2967053608
58	0.2958801912
59	0.2950228721
60	0.2935786904
61	0.292816509
62	0.2915698242
63	0.2906331209
64	0.2894996145
65	0.2885441509
66	0.2872804533
67	0.2858422595
68	0.2851241519
69	0.2843137336
70	0.2830568976
71	0.2814479595
72	0.2807748766
73	0.2799861225
74	0.2794260896
75	0.2787328845
76	0.2776847759
77	0.2770183748
78	0.275886359
79	0.2749262181
80	0.2743431846
81	0.2738301038
82	0.273191766
83	0.2722217054
84	0.2714089741
85	0.2705527858
86	0.2700376491
87	0.2695162675
88	0.2686015625
89	0.2679929071
90	0.2676423982
91	0.2666372327
92	0.266050884
93	0.2654762284
94	0.2649932669
95	0.2645886359
96	0.2638435701
97	0.2632757504
98	0.2626095806
99	0.2622319593
100	0.2615243627
101	0.2611085012
102	0.2606958779
103	0.2599085629
104	0.2590677426
105	0.2587177734
106	0.2580368781
107	0.2575228721
108	0.2568354749
109	0.256249229
110	0.2556904297
111	0.2552916324
112	0.2546373869
113	0.2539436421
114	0.2532635434
115	0.2527367907
116	0.2524363692
117	0.251844778
118	0.2512566046
119	0.2508311061
0	0.240846167
121	0.2404583962
122	0.2399861163
123	0.2397641901
124	0.239447789
125	0.2387754791
126	0.2385342908
127	0.2381037016
128	0.2377593706
129	0.2372804407
130	0.2367487688
131	0.236042722
132	0.2356331976
133	0.2353296601
134	0.2350189789
135	0.2342868972
136	0.2339958383
137	0.2336170941
138	0.2330966048
139	0.2322840069
140	0.231528971
141	0.2312472327
142	0.2305035106
143	0.2298570186
6143
144	0.2263232165
145	0.2259444387
146	0.2254982011
147	0.2252074424
148	0.2249094881
149	0.2246098376
150	0.223979852
151	0.2236646279
152	0.2230722656
153	0.2226658357
154	0.2224302015
155	0.2217877775
156	0.2215334087
157	0.2213677529
158	0.2208707854
146
160	0.2241468532
161	0.223751366
162	0.2231989717
163	0.2229631001
164	0.2224316726
165	0.2221066504
166	0.2218222301
167	0.2215073473
168	0.2212244563
169	0.2208797438
170	0.2207507611
171	0.2203933603
172	0.2199758165
173	0.2194891552
174	0.2189784618
175	0.2187206463
176	0.2181503772
177	0.2177547654
178	0.217506299
179	0.217190891
180	0.2167580126
181	0.2164605856
182	0.2161204222
183	0.2156360883
184	0.2151802892
185	0.2147813519
186	0.2145495533
187	0.2142070887
188	0.2133771264
189	0.2130663878
190	0.2127539307
191	0.2123262201
192	0.2121075714
193	0.211913698
194	0.2113772046
195	0.2110786255
196	0.2107220971
197	0.2102080806
198	0.2100325901
199	0.2094044891
200	0.2090716075
201	0.208788812
202	0.2082113251
203	0.2080831095
204	0.2075363972
205	0.2070728921
206	0.2066201758
207	0.2062821028
208	0.2060562531
209	0.2058216653
210	0.2053207971
211	0.2052687493
212	0.2051027543
213	0.204687117
214	0.2040820852
215	0.2035286019
216	0.2032728749
217	0.2029103373
218	0.2023240786
219	0.2021515076
220	0.2016085253
