iter	Passed	Remaining
0	105	24271
1	166	18962
2	217	16444
3	271	15342
4	343	15436
5	411	15357
6	514	16375
7	722	20050
8	806	19804
9	870	19159
10	917	18258
11	975	17723
12	1026	17126
13	1088	16792
14	1157	16588
15	1201	16066
16	1247	15636
17	1288	15180
18	1333	14811
19	1381	14505
20	1423	14165
21	1468	13882
22	1520	13681
23	1580	13567
24	1619	13281
25	1664	13061
26	1706	12831
27	1753	12650
28	1801	12487
29	1839	12264
30	1881	12076
31	1925	11915
32	1965	11733
33	2000	11531
34	2030	11315
35	2068	11149
36	2105	10984
37	2140	10815
38	2184	10697
39	2220	10545
40	2251	10380
41	2289	10246
42	2328	10126
43	2370	10022
44	2413	9922
45	2445	9783
46	2483	9667
47	2520	9556
48	2552	9429
49	2590	9324
50	2625	9215
51	2668	9134
52	2715	9067
53	2747	8955
54	2780	8848
55	2815	8748
56	2846	8638
57	2876	8530
58	2909	8433
59	2945	8344
60	2984	8267
61	3026	8199
62	3057	8103
63	3091	8018
64	3132	7951
65	3174	7887
66	3230	7860
67	3267	7783
68	3303	7707
69	3348	7654
70	3392	7596
71	3435	7538
72	3481	7487
73	3525	7432
74	3576	7391
75	3615	7325
76	3662	7278
77	3705	7220
78	3746	7160
79	3780	7087
80	3815	7018
81	3856	6960
82	3889	6888
83	3926	6825
84	3972	6775
85	4004	6705
86	4049	6655
87	4084	6590
88	4118	6525
89	4157	6467
90	4193	6406
91	4227	6341
92	4268	6287
93	4301	6223
94	4337	6163
95	4377	6110
96	4414	6053
97	4454	5999
98	4491	5943
99	4524	5881
100	4562	5826
101	4601	5774
102	4637	5718
103	4680	5670
104	4713	5611
105	4749	5556
106	4784	5500
107	4821	5446
108	4862	5397
109	4900	5345
110	4933	5288
111	4971	5237
112	5009	5187
113	5045	5134
114	5087	5087
115	5121	5032
116	5156	4980
117	5198	4934
118	5231	4879
119	5269	4830
120	5310	4783
121	5342	4729
122	5376	4677
123	5415	4629
124	5454	4581
125	5494	4535
126	5530	4485
127	5565	4435
128	5602	4386
129	5640	4338
130	5675	4288
131	5715	4243
132	5747	4192
133	5783	4143
134	5820	4096
135	5855	4047
136	5895	4001
137	5933	3955
138	5963	3904
139	6004	3860
140	6047	3817
141	6081	3768
142	6119	3723
143	6158	3677
144	6194	3631
145	6234	3586
146	6278	3544
147	6334	3509
148	6343	3448
149	6381	3403
150	6421	3359
151	6457	3313
152	6491	3266
153	6528	3221
154	6564	3176
155	6601	3131
156	6644	3089
157	6676	3042
158	6715	2998
159	6757	2956
160	6793	2911
161	6837	2869
162	6869	2823
163	6907	2779
164	6947	2736
165	6981	2691
166	7019	2648
167	7059	2605
168	7090	2559
169	7126	2515
170	7163	2471
171	7196	2426
172	7240	2385
173	7273	2340
174	7309	2297
175	7345	2253
176	7381	2210
177	7418	2167
178	7460	2125
179	7496	2082
180	7533	2039
181	7575	1997
182	7608	1954
183	7647	1911
184	7685	1869
185	7717	1825
186	7754	1783
187	7792	1740
188	7825	1697
189	7865	1655
190	7899	1612
191	7937	1570
192	7975	1528
193	8007	1486
194	8048	1444
195	8092	1403
196	8124	1361
197	8166	1319
198	8200	1277
199	8234	1235
200	8273	1193
201	8312	1152
202	8350	1110
203	8390	1069
204	8421	1027
205	8458	985
206	8496	944
207	8534	902
208	8572	861
209	8611	820
210	8644	778
211	8683	737
212	8721	696
213	8756	654
214	8795	613
215	8831	572
216	8867	531
217	8906	490
218	8938	448
219	8975	407
220	9013	367
221	9048	326
222	9086	285
223	9124	244
224	9155	203
225	9193	162
226	9230	121
227	9261	81
228	9305	40
229	9338	0
